epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,19439,1.09739,1.15327,1.37404,0.91898,0.88711,0.91311,0.74015,1.04636,0.9111,1.19314,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,19976.5,1.09652,1.13722,1.37061,0.91914,0.88991,0.91483,0.74464,1.0418,0.90794,1.1899,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,20483.4,1.09236,1.13123,1.36866,0.92008,0.89501,0.91582,0.74628,1.03757,0.90236,1.18659,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,21105.5,1.09012,1.13083,1.36514,0.92078,0.89518,0.91658,0.74665,1.03643,0.89838,1.18509,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,21689.2,1.08188,1.12568,1.36401,0.92124,0.89681,0.9171,0.7487,1.03157,0.8944,1.18232,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,22272.7,1.08137,1.12239,1.35928,0.91907,0.89632,0.91741,0.74903,1.02956,0.89046,1.18004,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,22787.8,1.07896,1.1179,1.36024,0.9211,0.8965,0.91812,0.75001,1.02761,0.88683,1.17818,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,23293.9,1.07226,1.1058,1.35198,0.92037,0.89721,0.91871,0.75237,1.02525,0.88354,1.17607,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,23790.6,1.06924,1.10311,1.35256,0.92277,0.89773,0.91985,0.75341,1.02332,0.87948,1.1743,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,24397.9,1.06781,1.10002,1.34787,0.92564,0.89732,0.92103,0.75521,1.02044,0.87689,1.17208,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,25110.4,1.06498,1.08763,1.34469,0.92776,0.89601,0.92147,0.75631,1.01813,0.87362,1.17001,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,25800.3,1.05825,1.08299,1.3393,0.92623,0.89656,0.92184,0.75754,1.01574,0.8713,1.1683,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,26382.5,1.06045,1.08256,1.34207,0.92609,0.89707,0.92224,0.75805,1.01385,0.86934,1.16671,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,26990.4,1.05378,1.07056,1.33564,0.92678,0.89639,0.92284,0.75944,1.0122,0.86728,1.16503,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,27503.6,1.05897,1.07666,1.34056,0.92852,0.89497,0.9233,0.76002,1.01101,0.8644,1.16384,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
